source_images_idx,source_i,source_j,source_k,means,covs,label_frequency,perdict_frequency
0,0,0,0,"[[  8.08197575 -12.01331516 -13.07901786   4.52224065 -16.94783445]
 [ -3.52011976  -4.51028316  -8.66314912  -6.92570637  -3.97279704]
 [  0.           0.           0.           0.           0.        ]
 [ -4.75861886  -1.66425961  -8.84043013  -3.01395115   7.37302931]
 [  0.           0.           0.           0.           0.        ]]","[[[ 3.88672054 -1.70203853 -1.85622843  6.86918626 -2.10350104]
  [-1.70203853  2.74240768  2.49255419 -2.46811546  3.40115213]
  [-1.85622843  2.49255419  2.49329247 -2.78385596  3.17262519]
  [ 6.86918626 -2.46811546 -2.78385596 16.77970317  0.04893786]
  [-2.10350104  3.40115213  3.17262519  0.04893786  6.51689657]]

 [[ 0.52604136 -0.44175841 -0.21889489  0.22672652 -0.72750868]
  [-0.44175841  0.61061557  0.42017468 -0.17203425  0.87689076]
  [-0.21889489  0.42017468  0.36013881 -0.06852784  0.61569794]
  [ 0.22672652 -0.17203425 -0.06852784  0.13081143 -0.25435051]
  [-0.72750868  0.87689076  0.61569794 -0.25435051  1.50428111]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[ 0.65454267 -0.31264617 -0.23260238  0.58742355 -0.45169906]
  [-0.31264617  0.19154674  0.11290484 -0.22772416  0.30228329]
  [-0.23260238  0.11290484  0.27364579 -0.46370476 -0.17465892]
  [ 0.58742355 -0.22772416 -0.46370476  1.00504705  0.1732791 ]
  [-0.45169906  0.30228329 -0.17465892  0.1732791   1.09624516]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[19268  7577     0  5923     0],[12670   313     0   667     0]
0,0,0,107,"[[  8.47408079 -12.78317694 -14.62186095   6.28561545 -15.62813656]
 [ -1.93408028  -4.68169878  -8.68198854  -7.57647667  -5.40013696]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[ 5.77261314e+00 -4.67853975e+00 -5.35925569e+00  1.05207184e+01
   -2.76196622e+00]
  [-4.67853975e+00  5.30224851e+00  6.38386515e+00 -8.93626151e+00
    2.83382650e+00]
  [-5.35925569e+00  6.38386515e+00  8.07159450e+00 -1.04804131e+01
    2.78135013e+00]
  [ 1.05207184e+01 -8.93626151e+00 -1.04804131e+01  2.55386640e+01
   -1.31109076e+00]
  [-2.76196622e+00  2.83382650e+00  2.78135013e+00 -1.31109076e+00
    5.14973827e+00]]

 [[ 5.94253205e-01 -2.00519059e-01  7.24222562e-02  2.01674036e-01
   -8.21277234e-01]
  [-2.00519059e-01  3.44003143e-01  2.25608846e-01 -1.32152257e-01
    4.07436662e-01]
  [ 7.24222562e-02  2.25608846e-01  2.41536987e-01 -4.81023223e-02
    8.49248775e-03]
  [ 2.01674036e-01 -1.32152257e-01 -4.81023223e-02  2.43589427e-01
   -1.35493803e-01]
  [-8.21277234e-01  4.07436662e-01  8.49248775e-03 -1.35493803e-01
    1.41688709e+00]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]]",[29145  3428     0   195     0],[25137   487     0     0     0]
0,0,0,214,"[[  7.42781782  -8.54649448 -10.91144085   7.08381987  -8.79811287]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[ 3.96431402 -4.37689797 -6.01374706  6.27792407 -2.39383232]
  [-4.37689797  5.28303246  6.9936316  -7.04052759  3.20235108]
  [-6.01374706  6.9936316   9.53013625 -9.6752763   3.91156636]
  [ 6.27792407 -7.04052759 -9.6752763  10.69818202 -3.54530104]
  [-2.39383232  3.20235108  3.91156636 -3.54530104  2.67959756]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[32768     0     0     0     0],[32768     0     0     0     0]
0,0,0,321,"[[ 6.37268877 -6.0952239  -8.38967133  6.50386429 -6.04573059]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]]","[[[ 2.01988904 -0.41342806 -1.48304132  3.03193904  0.34528322]
  [-0.41342806  1.10342461  1.37675956  0.22269745  1.22305009]
  [-1.48304132  1.37675956  2.37861706 -1.2596508   0.97212357]
  [ 3.03193904  0.22269745 -1.2596508   6.38677783  2.17242668]
  [ 0.34528322  1.22305009  0.97212357  2.17242668  2.3973662 ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[32768     0     0     0     0],[32768     0     0     0     0]
0,0,0,322,"[[ 6.37145758 -6.07565784 -8.36512184  6.48786974 -6.05188084]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]]","[[[ 2.03791519 -0.35379839 -1.42927863  3.04079808  0.38577337]
  [-0.35379839  1.10517167  1.34066007  0.32128893  1.25830682]
  [-1.42927863  1.34066007  2.31200922 -1.14453277  0.9816099 ]
  [ 3.04079808  0.32128893 -1.14453277  6.37172018  2.21422507]
  [ 0.38577337  1.25830682  0.9816099   2.21422507  2.43776516]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[32768     0     0     0     0],[32768     0     0     0     0]
0,0,4,0,"[[  7.74404038 -11.74460844 -12.76179059   2.94350264 -17.19507525]
 [ -3.47322123  -5.11348163  -9.4010429   -7.19645167  -4.51065605]
 [  0.           0.           0.           0.           0.        ]
 [ -6.5747203   -0.29645289  -9.70930779  -4.47999963   9.59080726]
 [  0.           0.           0.           0.           0.        ]]","[[[ 3.92487361 -1.77220023 -1.6194226   5.56923608 -3.47277482]
  [-1.77220023  1.49954029  1.29613635 -1.96951907  2.87628862]
  [-1.6194226   1.29613635  1.42144957 -1.26561956  2.81557494]
  [ 5.56923608 -1.96951907 -1.26561956 13.38309788 -1.34082365]
  [-3.47277482  2.87628862  2.81557494 -1.34082365  6.89648009]]

 [[ 0.77350843 -0.70546962 -0.30232226  0.36198473 -1.15399471]
  [-0.70546962  1.32567999  0.93098413 -0.30851081  1.49842889]
  [-0.30232226  0.93098413  0.77294178 -0.09578513  0.91638775]
  [ 0.36198473 -0.30851081 -0.09578513  0.26354894 -0.35322605]
  [-1.15399471  1.49842889  0.91638775 -0.35322605  2.44011994]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[ 4.6041761  -3.67063526 -3.32338005  4.45674186 -2.3944819 ]
  [-3.67063526  3.75368452  3.28696729 -3.50790605  2.36598103]
  [-3.32338005  3.28696729  4.08441362 -3.98697261  0.35511219]
  [ 4.45674186 -3.50790605 -3.98697261  4.90779534 -1.08937966]
  [-2.3944819   2.36598103  0.35511219 -1.08937966  4.0576385 ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[18469  8376     0  5923     0],[9352  530    0 2319    0]
0,0,4,107,"[[  8.08580882 -12.7289198  -14.15594141   5.06197262 -16.35571454]
 [ -2.26072518  -5.13599795  -8.70667473  -7.41158148  -6.08454715]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[ 4.87403424e+00 -4.08806532e+00 -4.66836575e+00  7.50353981e+00
   -3.32664119e+00]
  [-4.08806532e+00  6.47078308e+00  7.84322401e+00 -6.22914719e+00
    4.61612708e+00]
  [-4.66836575e+00  7.84322401e+00  9.81733325e+00 -7.42214465e+00
    4.94971866e+00]
  [ 7.50353981e+00 -6.22914719e+00 -7.42214465e+00  1.87918571e+01
    9.06886483e-02]
  [-3.32664119e+00  4.61612708e+00  4.94971866e+00  9.06886483e-02
    8.16317182e+00]]

 [[ 8.53851107e-01 -5.03645517e-01 -6.66117096e-02  2.27418483e-01
   -1.47333036e+00]
  [-5.03645517e-01  4.23390590e-01  1.33866487e-01 -3.86186551e-02
    1.10642698e+00]
  [-6.66117096e-02  1.33866487e-01  9.35244086e-02  1.61163423e-02
    2.46620243e-01]
  [ 2.27418483e-01 -3.86186551e-02  1.61163423e-02  2.94577095e-01
   -1.37468423e-02]
  [-1.47333036e+00  1.10642698e+00  2.46620243e-01 -1.37468423e-02
    3.25028953e+00]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]]",[29145  3428     0   195     0],[25317   567     0     0     0]
0,0,4,214,"[[  7.42803383  -9.22622585 -10.98050308   7.32155704 -10.24208832]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[  3.69635524  -4.59943745  -5.65811137   6.6337477   -2.95766262]
  [ -4.59943745   6.45824777   7.59015232  -8.58976964   4.53324809]
  [ -5.65811137   7.59015232   9.21235244 -10.42684444   4.99661299]
  [  6.6337477   -8.58976964 -10.42684444  12.98110737  -5.13942484]
  [ -2.95766262   4.53324809   4.99661299  -5.13942484   4.0193165 ]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]]",[32768     0     0     0     0],[32768     0     0     0     0]
0,0,4,321,"[[  6.43094587  -7.99465466 -10.13456059   6.66776037  -7.91810513]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[ 1.94072195 -0.69541175 -1.53030469  3.59337379  0.36414238]
  [-0.69541175  1.06129955  1.42639996 -0.92585846  0.71494955]
  [-1.53030469  1.42639996  2.36973439 -2.3676513   0.47101535]
  [ 3.59337379 -0.92585846 -2.3676513   8.43071401  2.28328442]
  [ 0.36414238  0.71494955  0.47101535  2.28328442  2.23982918]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[32768     0     0     0     0],[32768     0     0     0     0]
0,0,4,322,"[[  6.44874573  -8.0057621  -10.17076969   6.6671443   -7.92410088]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[ 1.96422965 -0.65044273 -1.49360016  3.62179601  0.41141122]
  [-0.65044273  1.05406576  1.39199652 -0.80288918  0.77640488]
  [-1.49360016  1.39199652  2.31126373 -2.24240507  0.51363169]
  [ 3.62179601 -0.80288918 -2.24240507  8.40164747  2.35587361]
  [ 0.41141122  0.77640488  0.51363169  2.35587361  2.32373351]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[32768     0     0     0     0],[32768     0     0     0     0]
