source_images_idx,source_i,source_j,source_k,means,covs,label_frequency,perdict_frequency
0,0,0,0,"[[ -0.28884542  21.20593668  14.59902894  17.5796334  -14.81474782]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[ 31.35080321 -16.11616954  17.41962343  -5.20135582   5.3693999 ]
  [-16.11616954  28.66117019   3.78375012  16.91509544  -7.46308207]
  [ 17.41962343   3.78375012  22.32411557   2.1686886   -0.4299421 ]
  [ -5.20135582  16.91509544   2.1686886   19.04083011  -8.28460824]
  [  5.3693999   -7.46308207  -0.4299421   -8.28460824   8.7117965 ]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]]",[32754    14     0     0     0],[32754     0     0     0     0]
0,0,0,22,"[[ -0.92005889  21.12555145  13.36701663  17.18578546 -13.95047747]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[20.16911369 -2.49768105 17.50818395  4.13029331 -3.72723297]
  [-2.49768105 28.79792243 18.15490618 11.65762488  2.29865872]
  [17.50818395 18.15490618 37.82988301  5.81524548 -3.47824752]
  [ 4.13029331 11.65762488  5.81524548 15.54395847 -2.44581439]
  [-3.72723297  2.29865872 -3.47824752 -2.44581439  6.63710809]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[32497   271     0     0     0],[32188     0     0     0     0]
0,0,0,44,"[[  0.73468843  21.55061436  14.19141706  18.42598704 -13.40388421]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[13.7673884   2.49721752 16.08477675  2.66671408 -0.51676625]
  [ 2.49721752 37.49564056 21.23582304 18.58768214  6.81442898]
  [16.08477675 21.23582304 36.30839443  6.15832685 -1.10397004]
  [ 2.66671408 18.58768214  6.15832685 19.03305948  0.57526905]
  [-0.51676625  6.81442898 -1.10397004  0.57526905 11.71758105]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[32668   100     0     0     0],[32534     0     0     0     0]
0,0,0,66,"[[ -0.37759033  21.67076302  13.23663425  19.88057518 -15.58786106]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[16.05426956 -5.58064056 10.37679468  2.31320505  0.21172032]
  [-5.58064056 30.4938392  13.66167838 12.19326996  1.27775049]
  [10.37679468 13.66167838 24.95165897  4.39775305 -2.3736623 ]
  [ 2.31320505 12.19326996  4.39775305 16.1036576  -2.54687805]
  [ 0.21172032  1.27775049 -2.3736623  -2.54687805 10.16108885]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[32768     0     0     0     0],[32768     0     0     0     0]
0,0,29,0,"[[ -6.04999743  15.61466442   5.13061101  12.94154863 -13.35083101]
 [-15.90336068  -1.30470443  -5.51007812  -0.62875236  -4.93665104]
 [  0.           0.           0.           0.           0.        ]
 [-10.50520861 -21.83412199   3.23161484 -15.45847371  10.91701457]
 [  0.           0.           0.           0.           0.        ]]","[[[ 21.96983907  -0.82563507  23.3881466   -9.69702983   9.00250074]
  [ -0.82563507  22.95032589  15.58464615  14.01057726 -12.71298771]
  [ 23.3881466   15.58464615  47.32045981 -11.45797734  -1.57442523]
  [ -9.69702983  14.01057726 -11.45797734  25.77642254 -12.13102535]
  [  9.00250074 -12.71298771  -1.57442523 -12.13102535  16.11565318]]

 [[ 16.84236505  -9.9661219   12.87100786 -15.92034902  12.96301287]
  [ -9.9661219   33.67699594 -18.54851322  38.8482888  -27.5541402 ]
  [ 12.87100786 -18.54851322  14.85452977 -24.85950332  17.44788728]
  [-15.92034902  38.8482888  -24.85950332  49.04433304 -33.23138616]
  [ 12.96301287 -27.5541402   17.44788728 -33.23138616  25.25846951]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]

 [[  3.1812147   -1.3913154    1.58471664   0.52509201   1.30971509]
  [ -1.3913154    6.00723677  -1.5196159    1.94876876  -3.51365169]
  [  1.58471664  -1.5196159    0.9368065   -0.10074423   1.08200427]
  [  0.52509201   1.94876876  -0.10074423   1.00969935  -0.95972569]
  [  1.30971509  -3.51365169   1.08200427  -0.95972569   2.25164561]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]]",[27621  4184     0   963     0],[26722  3000     0   589     0]
0,0,29,22,"[[ -3.54318669  15.71676919   3.60365469  15.7846984   -9.92493673]
 [-16.61229386  -5.85706784  -4.92595019  -3.40005885  -3.47698911]
 [  0.           0.           0.           0.           0.        ]
 [ -8.45587324 -27.27151931   7.32998064 -19.38719435  16.72351729]
 [  0.           0.           0.           0.           0.        ]]","[[[ 3.15453329e+01  1.68126991e+01  3.82381435e+01  2.47536694e+00
    7.82478352e+00]
  [ 1.68126991e+01  2.90920133e+01  3.21396716e+01  1.33425096e+01
   -2.48979753e+00]
  [ 3.82381435e+01  3.21396716e+01  6.41015102e+01 -2.46554314e+00
    6.49040406e+00]
  [ 2.47536694e+00  1.33425096e+01 -2.46554314e+00  2.25255957e+01
   -5.19651826e+00]
  [ 7.82478352e+00 -2.48979753e+00  6.49040406e+00 -5.19651826e+00
    5.76931435e+00]]

 [[ 2.29962677e+01  1.28184821e+01  8.21716468e+00  4.85624923e+00
    1.99290497e-02]
  [ 1.28184821e+01  6.98490038e+01 -1.63473501e+01  6.09937423e+01
   -4.31350379e+01]
  [ 8.21716468e+00 -1.63473501e+01  1.13348105e+01 -2.00417102e+01
    1.48610571e+01]
  [ 4.85624923e+00  6.09937423e+01 -2.00417102e+01  6.03657504e+01
   -4.08963977e+01]
  [ 1.99290497e-02 -4.31350379e+01  1.48610571e+01 -4.08963977e+01
    3.14929687e+01]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]

 [[ 6.85337913e+01  5.61086388e+01  3.97668229e+01  2.86552237e+01
   -5.19762094e+00]
  [ 5.61086388e+01  8.06734563e+01  2.88528515e+01  3.73358291e+01
   -2.80471448e+01]
  [ 3.97668229e+01  2.88528515e+01  2.77267001e+01  1.17985487e+01
    3.85186097e-01]
  [ 2.86552237e+01  3.73358291e+01  1.17985487e+01  2.02512609e+01
   -1.24742765e+01]
  [-5.19762094e+00 -2.80471448e+01  3.85186097e-01 -1.24742765e+01
    1.73150970e+01]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]]",[19192  8961     0  4615     0],[17780  6405     0  3466     0]
0,0,29,44,"[[ -1.65923448  15.26388135   7.15827732  14.84577604 -10.58256898]
 [-16.06227033  -3.85870806  -4.53998354  -3.2491945   -4.29323069]
 [  0.           0.           0.           0.           0.        ]
 [ -9.05743366 -21.92065747   4.93603702 -16.8855415   12.51519379]
 [  0.           0.           0.           0.           0.        ]]","[[[ 56.51122116  28.9444772   67.74343579  12.74658504   8.72053811]
  [ 28.9444772   29.33633458  37.14076943  25.25023538  -3.77918529]
  [ 67.74343579  37.14076943  98.40654246   4.21183139   6.6690089 ]
  [ 12.74658504  25.25023538   4.21183139  41.31608467  -8.95989742]
  [  8.72053811  -3.77918529   6.6690089   -8.95989742  10.16380561]]

 [[ 11.15642607   3.30503165   4.72268571  -0.69400094   3.83760474]
  [  3.30503165  39.76094022 -13.07409288  41.75553388 -28.90648196]
  [  4.72268571 -13.07409288   8.3485432  -17.76567256  13.12856297]
  [ -0.69400094  41.75553388 -17.76567256  50.02396032 -33.54735113]
  [  3.83760474 -28.90648196  13.12856297 -33.54735113  25.75678887]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]

 [[ 43.41134112  55.7482021   18.90028319  29.67554151 -19.42641438]
  [ 55.7482021   96.81476993  22.45920421  47.54583977 -41.99851541]
  [ 18.90028319  22.45920421   8.66112938  11.96674421  -7.15434596]
  [ 29.67554151  47.54583977  11.96674421  24.07682112 -19.72952616]
  [-19.42641438 -41.99851541  -7.15434596 -19.72952616  20.31200422]]

 [[ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]
  [ -0.          -0.          -0.          -0.          -0.        ]]]",[25382  5566     0  1820     0],[24401  4116     0  1309     0]
0,0,29,66,"[[  0.7974979   20.4354657   13.63781647  19.69315384 -15.35009775]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]","[[[38.78227923 -2.40206318 30.69861503  4.58652052  4.48290055]
  [-2.40206318 36.68926105 21.62584092 18.8273128  -4.97318558]
  [30.69861503 21.62584092 47.63456443 11.59633141 -4.19339615]
  [ 4.58652052 18.8273128  11.59633141 19.51280046 -5.23242974]
  [ 4.48290055 -4.97318558 -4.19339615 -5.23242974 12.5259472 ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]

 [[-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]
  [-0.         -0.         -0.         -0.         -0.        ]]]",[32487   281     0     0     0],[32290     0     0     0     0]
0,0,58,0,"[[ -6.69250795  12.89748949  -1.5658918   14.92491122  -9.5956499 ]
 [-14.58076696  -4.79101497  -4.02338211  -2.96169021  -1.7104761 ]
 [  0.           0.           0.           0.           0.        ]
 [  2.3341753  -18.98029952  21.963522   -18.52596124  17.79042504]
 [  0.           0.           0.           0.           0.        ]]","[[[  18.40291508    1.96062677   19.62516083   -6.47106317    8.03590079]
  [   1.96062677    9.78497381    5.40493391    8.12230658   -4.15384276]
  [  19.62516083    5.40493391   23.56230602   -5.79871845    6.9978751 ]
  [  -6.47106317    8.12230658   -5.79871845   13.2874355    -7.98972014]
  [   8.03590079   -4.15384276    6.9978751    -7.98972014    6.75655893]]

 [[   7.71532911   11.36974038    1.11875721    5.70658043   -3.92943763]
  [  11.36974038   69.74978107  -10.39249857   45.75867552  -40.36574649]
  [   1.11875721  -10.39249857    4.34193955  -10.4833408     7.68095932]
  [   5.70658043   45.75867552  -10.4833408    37.65293678  -28.84475121]
  [  -3.92943763  -40.36574649    7.68095932  -28.84475121   25.71022002]]

 [[  -0.           -0.           -0.           -0.           -0.        ]
  [  -0.           -0.           -0.           -0.           -0.        ]
  [  -0.           -0.           -0.           -0.           -0.        ]
  [  -0.           -0.           -0.           -0.           -0.        ]
  [  -0.           -0.           -0.           -0.           -0.        ]]

 [[ 313.71053168  285.23596827  306.30946036  100.47273092  -29.45058223]
  [ 285.23596827  373.32016228  247.13839799  139.45917236 -102.85977349]
  [ 306.30946036  247.13839799  312.88812591   81.78573392   -7.84511177]
  [ 100.47273092  139.45917236   81.78573392   55.89478182  -42.12486668]
  [ -29.45058223 -102.85977349   -7.84511177  -42.12486668   56.02542693]]

 [[  -0.           -0.           -0.           -0.           -0.        ]
  [  -0.           -0.           -0.           -0.           -0.        ]
  [  -0.           -0.           -0.           -0.           -0.        ]
  [  -0.           -0.           -0.           -0.           -0.        ]
  [  -0.           -0.           -0.           -0.           -0.        ]]]",[14209  8515     0 10044     0],[12073  5994     0  9002     0]
0,0,58,22,"[[-6.97503105e+00  8.84751995e+00 -5.48923770e+00  1.49462874e+01
  -8.92916503e+00]
 [-1.58506703e+01 -8.68747783e+00 -3.97573106e+00 -5.04149971e+00
  -6.53408367e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00]
 [ 2.81085536e+00 -1.41360885e+01  2.41856686e+01 -1.78004088e+01
   1.44178953e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00]]","[[[ 6.60758642e+00 -2.99141725e-01  4.69479239e+00 -6.63636880e-01
    4.95636059e+00]
  [-2.99141725e-01  2.53123274e+00 -1.10876600e+00  4.37718860e+00
   -1.13672111e+00]
  [ 4.69479239e+00 -1.10876600e+00  3.91785914e+00 -2.17680099e+00
    3.67024493e+00]
  [-6.63636880e-01  4.37718860e+00 -2.17680099e+00  8.04020591e+00
   -2.50885432e+00]
  [ 4.95636059e+00 -1.13672111e+00  3.67024493e+00 -2.50885432e+00
    5.64002979e+00]]

 [[ 2.52344997e+01  5.31374044e+01  2.97376390e+00  2.64543050e+01
   -2.52705119e+01]
  [ 5.31374044e+01  1.55651336e+02 -3.53959807e+00  8.71934275e+01
   -8.34272584e+01]
  [ 2.97376390e+00 -3.53959807e+00  4.92218609e+00 -8.62179465e+00
    4.79308908e+00]
  [ 2.64543050e+01  8.71934275e+01 -8.62179465e+00  6.11212555e+01
   -5.06636763e+01]
  [-2.52705119e+01 -8.34272584e+01  4.79308908e+00 -5.06636763e+01
    4.80351880e+01]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]

 [[ 2.59008322e+02  2.70516035e+02  2.70230595e+02  8.26465335e+01
   -5.71742779e+01]
  [ 2.70516035e+02  3.98962041e+02  2.36027028e+02  1.46395585e+02
   -1.42547651e+02]
  [ 2.70230595e+02  2.36027028e+02  3.18415237e+02  5.20216565e+01
   -2.63393483e+01]
  [ 8.26465335e+01  1.46395585e+02  5.20216565e+01  6.39051513e+01
   -6.17192501e+01]
  [-5.71742779e+01 -1.42547651e+02 -2.63393483e+01 -6.17192501e+01
    7.53154641e+01]]

 [[-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]
  [-0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
   -0.00000000e+00]]]",[ 5918  8304     0 18546     0],[ 4127  5814     0 17063     0]
